trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,6,17.178614402167103,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,21,-53.654756418078954,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,16,8.572506582958793,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,1,-84.80715218688907,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,4,9.677545608565367,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",35,13,-52.998596713342266,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,0,-62.5890641825751,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,14,20.189506431110257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,7,-57.77918341503614,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-65.13263922882629,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,10.265458502939634,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,0,2.8688119459744374,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-54.69196628813676,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",30,5,-133.41646401092328,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,3,-54.317152601891245,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,6,-87.6980649990542,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,7,-43.1227118016047,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,3,20.75199352843929,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,16,-7.324839822598263,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,10,-2.6694117392675665,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-82.4006828986711,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,0,-42.12834269816277,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,22,15.496695356226066,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,15,6.760934423287349,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-29.927651681923166,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,0,9.97468792232013,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,6,3.6760657176452884,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",30,0,-49.41948668258831,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,4,-72.2399809127915,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,8,2.8314698575926283,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,-65.18614352381209,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,9,8.470098089175563,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-32.283721382153665,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-48.97576425525993,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,11,-15.597863863696928,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,10,-5.957712580073982,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,17,16.263414920794364,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,13,11.222372816622478,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,9,-79.87325946190528,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,10,11.852435296603097,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,9,-1.5433257816550043,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,-13.632705260470605,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,8,-33.55916350014257,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,0,7.807552761581963,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,17,-28.61462638802178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,3,0.2303721289112124,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,5,22.60780522156555,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,5.520901221704146,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,15,10.320326983259749,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,9,18.92812417070932,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,0,6.359650306869767,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,10.81482826862372,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,17,-27.425922201997906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,0,33.588114366709675,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,10,18.589801933932165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",30,19,17.333641218230248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,15,16.715358528317164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,14,-26.306236376817026,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,11,18.842457407690794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,20,9.488998076281842,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",35,27,13.894451557169118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",30,16,-1.384410902781062,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,10,18.99476428443671,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,11,18.911940309263088,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,6,31.28791985208063,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,10,15.24511139417434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,5,-6.701209449234371,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,9,-3.7263418907732637,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,15,18.271163897769036,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,10,5.068378927539392,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
