trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-149.85320518639443,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-169.3086513513428,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-83.98141294671346,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-94.46542988764945,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,1,-159.45126617539222,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-24.02044993229253,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-75.53251884135274,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-270.78115589854144,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-129.31960700802404,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,0,-191.65951624908607,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578535}",30,0,-114.26690655067851,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,0,-70.13956046017012,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
